episode,title,release_date
1,I'm Luffy! The Man Who Will Become the Pirate King!,"October 20, 1999"
2,Enter The Great Swordsman! Pirate Hunter Roronoa Zoro!,"November 17, 1999"
3,Morgan vs. Luffy! Who's This Mysterious Beautiful Young Girl?,"November 24, 1999"
4,Luffy's Past! The Red-Haired Shanks Appears!,"December 8, 1999"
5,"Fear, Mysterious Power! Pirate Clown Captain Buggy!","December 15, 1999"
6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,"December 29, 1999"
7,Grand Duel! Zoro the Swordsman vs. Cabaji the Acrobat!,"December 29, 1999"
8,Who Will Win? Showdown Between the True Powers of the Devil Fruit!,"December 29, 1999"
9,Honorable Liar? Captain Usopp,"January 12, 2000"
10,The World's Strongest Weirdo! Jango the Hypnotist!,"January 19, 2000"
11,"Revealing the Conspiracy! The Pirate Caretaker, Captain Kuro!","January 26, 2000"
12,Battle! The Black Cat Pirate Crew. Battle on the Slope!,"February 2, 2000"
13,The Terrifying Duo! Nyaban Brothers vs. Zoro,"February 9, 2000"
14,Luffy's Revival! Kaya-ojousama's Life and Death Confrontation,"February 16, 2000"
15,Defeat Kuro! Usopp's Tear-filled Determination!,"February 23, 2000"
16,Protect Kaya! Usopp Pirate Gang Takes Action!,"March 1, 2000"
17,"Completely Infuriated! Kuro vs. Luffy, Final Battle!","March 8, 2000"
18,You Are a Special Animal! Gaimon and His Bizarre Friends,"March 15, 2000"
19,The Past of the Three Swords! The Promise Between Zoro and Kuina!,"March 22, 2000"
20,The Famous Cook! Sanji of the Floating Restaurant,"April 12, 2000"
21,An Unexpected Guest! Sanji's Food and Gin's Grace,"April 12, 2000"
22,The Greatest Pirate Fleet: Captain Don Krieg,"April 26, 2000"
23,Protect Baratie! The Great Pirate: Zeff the Red Leg,"May 3, 2000"
24,Hawk Eyes Mihawk! Swordsman Zoro Falls into the Sea!,"May 10, 2000"
25,The Emerge of the Superb Kicking Skill: Sanji vs. the Iron Wall Pearl,"May 17, 2000"
26,Zeff and Sanji's Dream: The Sea of Dreams - All Blue,"May 24, 2000"
27,"The Coldhearted Devil-man: Gin, The Pirate Fleet Battle Commander","May 31, 2000"
28,I Won't Die! Conclusion: Luffy vs. Krieg,"June 7, 2000"
29,Outcome of a Deadly Battle! The Spear Inside!,"June 21, 2000"
30,Departure! Sea Chef and Luffy Travel Together!,"June 28, 2000"
31,"The Most Wicked Man of East Blue, Fishman Pirate Arlong","July 12, 2000"
32,"The Witch of Cocoyashi Village, Arlong's Female Officer","July 19, 2000"
33,Usopp's Death?! Luffy - Yet To Land?,"July 19, 2000"
34,Reunited! Usopp Tells Nami's True Story,"July 26, 2000"
35,The Hidden Past! Female Fighter Bellemere!,"August 2, 2000"
36,Survive! The Mother Bellemere and Nami's Family!,"August 9, 2000"
37,Luffy Stands Up! End of a Broken Promise!,"August 16, 2000"
38,Luffy in Trouble! Fishmen vs. Luffy Pirates!,"August 23, 2000"
39,Luffy Drowning! Zoro vs. Octopus Hatchan!,"August 30, 2000"
40,"Proud, Tall Warriors! Dramatic Battle of Sanji and Usopp!","September 6, 2000"
41,Luffy's Best! Nami's Courage and the Straw Hat,"September 13, 2000"
42,"Bursting Out! Fishman Arlong, Fearsome Attack From The Sea!","September 27, 2000"
43,The End of the Fishman Empire! Nami is my Friend!,"September 27, 2000"
44,"Setting off with a Smile! Farewell my Hometown, Cocoyashi Village!","October 11, 2000"
45,Bounty! Straw Hat Luffy Becomes World Famous!,"October 25, 2000"
46,Following the Straw Hat! Little Buggy's Big Adventure,"November 1, 2000"
47,You've Been Waiting For It! The Return of Captain Buggy!,"November 8, 2000"
48,The Town of the Beginning and the End - Arrival at Loguetown,"November 22, 2000"
49,"Sandai Kitetsu and Yubashiri! Zoro's New Swords, and the Female Sergeant Major","November 22, 2000"
50,Usopp vs. Daddy The Father! Showdown at High Noon!,"November 29, 2000"
51,A Burning Culinary Battle? Sanji vs. The Gorgeous Chef,"December 6, 2000"
52,Buggy's Revenge! The Man who Smiles at the Execution Platform!,"December 13, 2000"
53,The Legend Has Begun! Head to the Grand Line,"January 10, 2001"
54,"Foreboding of a New Adventure! The Puzzling Girl, Apis","January 17, 2001"
55,The Holy Beast! Apis' Secret and the Legendary Island,"January 24, 2001"
56,Erik's Raid! Great Escape from Gunkan Island!,"January 31, 2001"
57,Lone Island in a Distant Sea! The Legendary Lost Island,"February 7, 2001"
58,Duel in the Ruins! Strained Zoro vs. Erik,"February 21, 2001"
59,"Luffy, Completely Surrounded! Admiral Nelson's Secret Plan","February 21, 2001"
60,Those Who Soar in the Open Skies! Revival of the 1000 Year Legend,"February 28, 2001"
61,Angry Finale! Cross the Red Line!,"March 7, 2001"
62,The First Obstacle? Giant Whale Laboon Appears,"March 21, 2001"
63,"A Man's Promise, Luffy and the Whale Vow to Meet Again","March 21, 2001"
64,A Pirate-Loving Town? Arrival at Whiskey Peak,"April 15, 2001"
65,Exploding Sant?ry?! Zoro vs. Baroque Works!,"April 15, 2001"
66,A Serious Fight! Luffy vs. Zoro: the Baffling Duel!,"April 22, 2001"
67,Deliver Princess Vivi! Luffy Pirates Depart,"April 29, 2001"
68,"Try Hard, Koby! Diary of Koby-Meppo's Marine Struggles","May 13, 2001"
69,Koby-Meppo's Determination! Vice Admiral Garp's Fatherly Pride,"May 20, 2001"
70,Prehistoric Island! The Shadow Lurking in Little Garden!,"May 27, 2001"
71,Humongous Battle! The Giants Dorry and Brogy!,"June 3, 2001"
72,Luffy's Anger! A Dirty Trick in a Sacred Battle,"June 17, 2001"
73,Brogy Wails in Victory! Elbaf's Judgement,"June 24, 2001"
74,The Devil's Candle! Tears of Regret and Tears of Anger,"July 15, 2001"
75,Luffy Attacked by Magic! Colors Trap,"August 12, 2001"
76,Critical Counterattack! Usopp's Quick Wit and Kaenboshi!,"August 19, 2001"
77,Farewell to the Giants' Island! On to Alabasta,"August 19, 2001"
78,Nami is Sick? Beyond the Snow that Falls on the Ocean!,"August 26, 2001"
79,Ambush! The Bliking and Wapol the Blik,"September 2, 2001"
80,A Doctorless Island? Adventure in the Country Without a Name!,"September 9, 2001"
81,Ya Happy? The Doctor who is Called a Witch!,"September 16, 2001"
82,Dalton's Resolve! Wapol's Forces Land,"October 7, 2001"
83,Island that Lives in Snow! Ascend The Drum Rockies!,"October 7, 2001"
84,The Blue-Nosed Reindeer! Chopper's Secret,"October 21, 2001"
85,Dream of the Outcasts! The Quack Doctor Hiluluk,"October 28, 2001"
86,Hiluluk's Cherry Blossoms and Inherited Will,"November 4, 2001"
87,Against Wapol's Army Corps! The Abilities of the Baku Baku no Mi!,"November 11, 2001"
88,Zoan Type Devil's Fruit! Chopper's Seven-Level Transformation,"November 18, 2001"
89,When the Kingdom's Rule is Over! The Flag of Conviction Lasts Forever,"November 25, 2001"
90,Hiluluk's Cherry Blossoms! Miracle of the Drum Rockies,"December 2, 2001"
91,"Farewell, Drum Island! I'm Going Out to Sea!","December 9, 2001"
92,The Hero of Alabasta and the Ballerina on Deck,"December 9, 2001"
93,Coming to the Desert Kingdom! The Rain-Calling Powder and the Rebel Army,"December 16, 2001"
94,Reunion of the Powerful! His Name is Fire Fist Ace,"December 23, 2001"
95,Ace and Luffy! Warm Memories and Brotherly Bonds,"January 6, 2002"
96,"The Green City, Erumalu and the Kung Fu Dugongs","January 13, 2002"
97,Adventure in the Country of Sand! The Demons that Live in the Scorching Earth,"January 20, 2002"
98,Here Come the Desert Pirates! The Men who Live Free,"January 27, 2002"
99,"Spirit of the Fakes! Heart of the Rebel Army, Kamyu","February 3, 2002"
100,Rebel Warrior Kohza! The Dream Sworn to Vivi!,"February 10, 2002"
101,Heat Haze Duel! Ace vs. Scorpion Man,"February 17, 2002"
102,"Ruins and Lost Ones! Vivi, Comrades, and the Shape of a Country","February 24, 2002"
103,At Spiders Cafe - The Enemy Ringleaders Meet at 8 o'clock,"March 3, 2002"
104,Luffy vs. Vivi! A Tearful Vow for Comrades,"March 10, 2002"
105,"The Alabasta War Front! City of Dreams, Rainbase","March 17, 2002"
106,Trap in a Desperate Situation! Breaking Into Rain Dinners,"March 24, 2002"
107,Operation Utopia Commences! The Wave of Rebellion Begins to Move,"April 14, 2002"
108,The Fearsome Bananawani and Mr. Prince,"April 21, 2002"
109,The Key to Turning the Tide and a Great Escape! Doru Doru Ball!,"April 28, 2002"
110,Merciless Fight to the Death! Luffy vs. Crocodile,"May 5, 2002"
111,The Miracle Sprint! Alabasta the Animal Land,"May 12, 2002"
112,Rebel Army vs. Royal Army! The Battle will be in Alubarna!,"May 19, 2002"
113,Alubarna is Crying! Fierce Fight of Captain Carue!,"June 2, 2002"
114,Swear on Your Crewmate's Dream! Battle at Molehill 4th Avenue,"June 9, 2002"
115,Today's Grand Performance! Mane Mane Montage!,"June 16, 2002"
116,Transforming Into Nami! Bon Kurei's Hard-Hitting Ballet Kenpo,"June 23, 2002"
117,Nami's Whirlwind Warning! Clima Tact Explosion,"June 30, 2002"
118,"Secret of the Royal Family! The Ancient Weapon, Pluton","July 14, 2002"
119,Essence of a Mighty Sword! The Power to Cut Steel and the Breath of All Things,"July 21, 2002"
120,The Battle is Over! Kohza Flies the White Flag,"August 4, 2002"
121,Vivi's Voice Goes Unheard! A Hero Descends!,"August 11, 2002"
122,Sand Crocodile and Water Luffy! Death Match: Round 2,"August 18, 2002"
123,"Smells Like Croc! Run to the Tomb of the Royal Family, Luffy!","August 25, 2002"
124,The Nightmare Draws Near! Secret Base of the Suna Suna Clan,"September 1, 2002"
125,"Magnificent Wings! My Name is Pell, Guardian Spirit of the Kingdom","September 8, 2002"
126,I Will Surpass You! Rain Falls on Alabasta!,"September 15, 2002"
127,A Farewell to Arms! Pirates and a Little Justice,"October 6, 2002"
128,The Pirates' Banquet and Operation Escape Alabasta!,"October 6, 2002"
129,Everything Began that Day! Vivi Tells of her Adventures!,"October 20, 2002"
130,Beware her Scent! The Seventh One is Nico Robin!,"October 27, 2002"
131,The First Patient! Anecdote of the Rumble Ball,"November 3, 2002"
132,The Navigator's Mutiny! For an Unwavering Dream!,"November 10, 2002"
133,Inherited Recipe! Sanji the Curry Iron Chef,"November 17, 2002"
134,I'll Make it Bloom! Manly Usopp's Eight-Shaku Ball,"November 24, 2002"
135,"Infamous Pirate Hunter! The Wandering Swordsman, Zoro!","December 1, 2002"
136,Zenny Lives on Goat Island and There's a Pirate Ship on his Mountain!,"December 8, 2002"
137,How's That for Profit? Money Lender Zenny's Ambition!,"December 15, 2002"
138,Where the Island's Treasure Lies! Zenny Pirates Full Charge!,"December 22, 2002"
139,Legend of the Rainbow Mist! Ruluka Island and the Old Man Henzo!,"January 5, 2003"
140,Inhabitants of Neverland! The Pumpkin Pirates!,"January 12, 2003"
141,A Longing for Home! The Inescapable Pirate Graveyard!,"January 19, 2003"
142,Frantic Struggle! Wetton's Plans and the Rainbow Tower!,"January 26, 2003"
143,And Then the Legend Begins! To the End of the Rainbow!,"February 2, 2003"
144,"The Log is Taken! Salvage King, Masira!","February 9, 2003"
145,Monsters Appear! Don't Touch the Whitebeard Pirates,"February 16, 2003"
146,"Stop Dreaming! The City of Ridicule, Mock Town!","February 23, 2003"
147,The Pirate's Summit! The Man who Talks of Dreams and the King of Underwater Exploration,"March 9, 2003"
148,The Legendary Family! 'Liar Noland',"March 16, 2003"
149,Hard Turn to the Clouds! Find the Southbird!,"March 23, 2003"
150,Dreams Don't Come True!? Bellamy vs. The Saruyama Alliance,"April 13, 2003"
151,The Hundred-Million Man! The World's Highest Authority and the Pirate Blackbeard,"April 20, 2003"
152,Sail into the Sky! Ride the Knock-Up Stream,"April 27, 2003"
153,This is the Sea of the Sky! The Knight of the Sky and Heaven's Gate,"May 4, 2003"
154,Godland Skypiea! The Angels Of the Cloud Beach,"May 11, 2003"
155,Sacred Ground! The Island Where God Resides and Heaven's Judgement!,"May 18, 2003"
156,Criminals Already!? Skypiea's Upholders of the Law,"June 8, 2003"
157,Can we Escape!? God's Ordeals are Set in Motion!,"June 15, 2003"
158,Trap on Lovely Street! Almighty God Enel,"June 22, 2003"
159,"Go Forth, Little Crow! To the Sacrificial Altar","July 6, 2003"
160,Survival Rate: 10%! Priest Satori with the Power of Mantra!,"July 13, 2003"
161,Peril of the Ordeal of Balls! Fight to the Death in the Lost Forest,"July 20, 2003"
162,Chopper's in Danger! Former God vs. Priest Shura,"August 3, 2003"
163,Ever Mysterious! Ordeal of String and Ordeal of Love!?,"August 10, 2003"
164,Light the Fire of Shandia! Wiper the Warrior,"August 17, 2003"
165,"Floating Land of Gold, Jaya! To God's Shrine!","August 24, 2003"
166,Eve of Gold Festival! Feelings Toward 'Vearth'!,"September 7, 2003"
167,God Enel Appears!! Aubade to the Survivors,"September 21, 2003"
168,The Python Strikes! The Survival Game Begins,"October 12, 2003"
169,The Life-Threatening Reject! War Demon Wiper's Resolve,"October 19, 2003"
170,Fierce Sky Battle! Pirate Zoro vs. Fighter Braham,"October 19, 2003"
171,Howling Burn Bazooka!! Luffy vs. War Demon Wiper,"October 26, 2003"
172,Ordeal of Swamp! Chopper vs. Priest Gedatsu!!,"November 2, 2003"
173,The Invincible Ability! Enel's True Nature Revealed,"November 9, 2003"
174,The Vanished City! The Magnificent Ruins of Shandora!!,"November 16, 2003"
175,Chance of Survival: 0%!! Chopper vs. Priest Ohm,"December 21, 2003"
176,Climb Giant Jack!! Showdown in the Upper Ruins,"January 11, 2004"
177,Ultimate Test of the Ordeal of Iron! The White-Barbed Death Match!!,"January 18, 2004"
178,Gushing Blade Attack! Zoro vs. Priest Ohm!!,"January 25, 2004"
179,The Upper Ruins Crumble! The Quintet Finale!!,"February 1, 2004"
180,Battle in the Ancient Ruins! God Enel's Desire!!,"February 8, 2004"
181,"Ambitions of Fairy Vearth - The Ark, Maxim!!","February 15, 2004"
182,Finally Clashing! Pirate Luffy vs. God Enel!!,"February 22, 2004"
183,Maxim Rises! The Start of Deathpiea!!,"February 29, 2004"
184,Luffy's Fall! God's Judgement and Nami's Desire!!,"March 7, 2004"
185,Two People Awaken! A Rescue in Front of Burning Love!!,"March 14, 2004"
186,Capriccio to Destruction! The Impending Doom of Sky Island!!,"March 21, 2004"
187,Guidance from the Sound of a Bell! The Great Warrior and Tales of an Explorer,"March 28, 2004"
188,Released from Disgrace! The Tears of the Great Warrior!!,"March 28, 2004"
189,Eternal Friendship! The Bell of Oath Echoes Throughout the Giant Ocean!!,"April 4, 2004"
190,The Destruction of Angel Island! Terror of The Descending Raigou!!,"April 25, 2004"
191,Chop Down Giant Jack! The Last Hope of Escaping,"May 2, 2004"
192,The Miracle in God's Country! A Love Song Heard by Angels,"May 9, 2004"
193,"The War Draws to a Close! Ringing Far and Wide, the Proud Fantasia","May 23, 2004"
194,I Have Come Here! The Weaving of the Poneglyphs,"June 6, 2004"
195,Now Heading Towards the Blue Sea!! Memories of an Interwoven Finale,"June 13, 2004"
196,Emergency Official Announcement! Notorious Pirate Ship Infiltration!,"June 20, 2004"
197,Sanji the Cook! Showing His Real Worth at the Marine Dining-room!,"July 4, 2004"
198,Zoro's imprisonment and Chopper's Emergency Operation!,"July 11, 2004"
199,The Search of the Approaching Marines! The Second Person Who Was Captured!,"July 18, 2004"
200,Luffy and Sanji's Desperate Decision! Large Rescue Maneuvers!,"August 8, 2004"
201,Hot Blood Special Unit Participation! Bridge Offensive and Defensive Battle!,"September 5, 2004"
202,Smash the Barricade! The Going Merry is Recovered!,"September 12, 2004"
203,The Missing pirate Ship! 2nd Round Assault on the Fortress,"September 19, 2004"
204,The Gold Recovery Plan and the Waver Recovery Plan!,"October 3, 2004"
205,Catch Them All in One Net! Johnathan's Secret Scheme!,"October 3, 2004"
206,"So Long, Marine Base! The Final Battle for Freedom","October 10, 2004"
207,Big Adventure in Long Ring Long Land,"October 31, 2004"
208,The Foxy Pirate Crew and the Davy Back!,"November 7, 2004"
209,Round 1! One Lap of the Donut Race,"November 14, 2004"
210,Foxy the Silver Fox! A Violent Interference,"November 21, 2004"
211,Round 2! Shoot into the Groggy Ring!,"November 28, 2004"
212,Rapid-Fire Red Cards! Groggy Ring,"December 5, 2004"
213,Round 3! Round and Round Roller Race!,"December 12, 2004"
214,Burning Roller Race! Dash into the Final Round!,"December 19, 2004"
215,The Screaming Speed Serve! Pirate Dodgeball!,"January 9, 2005"
216,Final Match on the Edge! Dharma has Fallen!,"January 9, 2005"
217,Captain Confrontation! The Last Fight: Combat!,"January 16, 2005"
218,Full Power Noro Noro Beam vs. The Invulnerable Luffy,"January 23, 2005"
219,Heroic Fierce Combat! The Fateful Last Battle,"January 30, 2005"
220,You Lost Your Memory? It Was Taken? Who Are You?,"February 6, 2005"
221,The Mysterious Boy With the Whistle and Robin's Guess!,"February 13, 2005"
222,Get Back Your Memories! Landing on the Island!,"February 20, 2005"
223,Zoro Sharpens His Fangs! A Fight With a Wild Beast!,"February 27, 2005"
224,The Memory Thief's Final Counterattack Shows His True Nature!,"March 6, 2005"
225,The Man of Pride! Foxy the Silver Fox,"March 13, 2005"
226,The Nigh Invincible Man? And a Very Dangerous Man!,"March 20, 2005"
227,Marine High Admiral Aokiji! The Threat of the Greatest Power,"March 27, 2005"
228,Rubber and Ice One-On-One Fight! Luffy vs. Aokiji!,"March 27, 2005"
229,"Running Sea Train! The City of Water, Water 7","April 17, 2005"
230,The Adventure in the City of Water! Aim for the Giant Shipyard,"April 24, 2005"
231,The Franky Family and Iceburg!,"May 1, 2005"
232,Galley-La Company! The Magnificent Dock #1,"May 15, 2005"
233,The Pirate Kidnapping Incident and the Pirate Ship Waits for Death!,"May 22, 2005"
234,Rescuing a Crewmate! The Raid on the Franky House,"June 5, 2005"
235,Quarrel in the Moonlight! The Pirate Ship Trembles in Sadness,"June 12, 2005"
236,Luffy vs. Usopp! The Spirit of the Clashing Men,"June 19, 2005"
237,The City of Water is Shaking! Iceburg was Targeted!,"July 3, 2005"
238,Rubberman vs. Fire-Breathing Cyborg,"July 10, 2005"
239,The Criminals are the Straw Hat Pirates? The Bodyguards of Water 7,"July 31, 2005"
240,"An Eternal Farewell? Nico Robin, The Woman Who Bears Darkness","August 7, 2005"
241,Catch Robin! The Determination of the Straw Hat Pirates,"August 14, 2005"
242,The Signal is the Explosion! CP9 Starts to Move,"August 21, 2005"
243,CP9 Unmasked! Their Shocking True Faces,"September 4, 2005"
244,The Secret Bond! Franky and Iceburg,"September 11, 2005"
245,"Come Back, Robin! The Confrontation with CP9","September 18, 2005"
246,Destruction of the Straw Hat Pirates? The Terror of the Model Leopard!,"October 23, 2005"
247,The Man who is Loved by his Ship! Usopp's Tears!,"October 30, 2005"
248,Franky's Past! The Day the Sea Train Ran,"November 6, 2005"
249,Spandam's Conspiracy! The Day the Sea Train Shook,"November 13, 2005"
250,The End of the Legendary Man! The Day the Sea Train Cried,"November 27, 2005"
251,The Truth Behind the Betrayal! Robin's Sorrowful Decision!,"November 27, 2005"
252,The Steam Whistle Separates the Crew! The Sea Train Begins to Run,"December 4, 2005"
253,Sanji Breaks In! The Sea Train Battle in the Storm!,"December 11, 2005"
254,The Shout of Nami's Soul! The Return of the Straw Hat!,"January 22, 2006"
255,Another Sea Train! Rocket Man Sortie,"January 29, 2006"
256,Rescue our Friends! The Oath that Links the Enemies,"February 5, 2006"
257,"Smash the Wave! Luffy and Zoro, The Strongest Combo!","February 26, 2006"
258,A Man of Mystery Appears!? His Name is Sogeking!,"March 5, 2006"
259,Cook Confrontation! Sanji vs. Ramen Kenpo,"March 12, 2006"
260,Duel on the Roof! Franky vs. Nero!,"March 19, 2006"
261,Crash! Demon-Cutting Zoro vs. Ship-Cutting T-Bone!,"April 2, 2006"
262,Robin Struggles! Sogeking's Clever Scheme!!,"April 16, 2006"
263,The Judiciary Island! The Full Picture of Enies Lobby!,"April 30, 2006"
264,Operation Disembarkation Commences! The Straw Hat Crew Rushes In!,"May 21, 2006"
265,Luffy Charges In! Great Decisive Battle on the Judiciary Island!!,"June 4, 2006"
266,Battle with the Giants! Open the Second Door!,"June 11, 2006"
267,"The Means of Escaping is Opened! Fly through the Sky, Rocketman!","June 18, 2006"
268,Catch Up with Luffy! The Straw Hat Pirates' All-Out War,"June 25, 2006"
269,Robin was Betrayed! The Expectations of the World Government!,"June 25, 2006"
270,Give Robin Back! Luffy vs. Blueno!,"July 2, 2006"
271,Don't Stop! Raise the Signal Fire of a Counterattack!,"July 9, 2006"
272,Luffy is in Sight! Gather at the Courthouse Plaza,"July 23, 2006"
273,All for the Sake of Protecting My Friends! Gear Second in Motion,"July 30, 2006"
274,"Answer Us, Robin! The Outcries of the Straw Hat Crew!!","August 6, 2006"
275,Robin's Past! The Girl who was Called a Demon!,"August 13, 2006"
276,The Fated Parent and Child! The Mother's Name is Olvia!,"September 10, 2006"
277,Tragedy of Ohara! Fear of Buster Call!,"September 24, 2006"
278,Say You Want to Live! We are Friends!!,"September 24, 2006"
